Name, EA,formula
(H2O)6 radical anion,0.480000,H12O6-
(H2O)3..7-aza-indole radical anion,0.480000,C7H12N2O3-
(naphthalene)4 radical anion,0.480000,C40H32-
(Ar)9..NO anion,0.480000,Ar9NO-
NH3..NO anion,0.480000,H3N2O-
(NH3)11..Li anion,0.480000,H33LiN11-
Nickel hydride (NiH),0.481000,HNi
Allyl radical,0.481000,C3H5
(benzene)56 radical anion,0.483000,C336H336-
(toluene)39 radical anion,0.485000,C273H312-
"Benzaldehyde, 4-fluoro-",0.486000,C7H5FO
rubidium,0.486000,Rb
"Potassium, compound with rubidium (1:1)",0.486000,KRb
CDH=C radical anion,0.489000,C2HD2-
(H2O)7 radical anion,0.490000,H14O7-
(H2O)2..cytosine radical anion,0.490000,C4H9N3O3-
benzene..Sc anion,0.490000,C6H6Sc-
(NH3)6..Li anion,0.490000,H18LiN6-
(NH3)7..Li anion,0.490000,H21LiN7-
(NH3)12..Li anion,0.490000,H36LiN12-
(biphenyl)5 radical anion,0.490000,C60H50-
"Ethanone, 1-(2,4,6-trimethylphenyl)-",0.490000,C11H14O
(benzene)59 radical anion,0.492000,C354H354-
CD2=C,0.492000,C2D2
CD2=C(CD3)CD2,0.493000,C4D7
Cycloheptatrienyl radical,0.495000,C7H7
(benzene)65 radical anion,0.495000,C390H390-
NH3..(N2H7+) dianion,0.495000,H10N3-2
(benzene)62 radical anion,0.496000,C372H372-
Dipotassium,0.497000,K2
CD2=N anion,0.498000,CD2N-
(benzene)68 radical anion,0.498000,C408H408-
Dirubidium,0.498000,Rb2
cubene radical,0.499000,C8H6
Li4 anion,0.500000,Li4-
cubanide anion,0.500000,C8H7-
N-diazirinide anion,0.500000,CH3N2-
benzene..Co2 anion,0.500000,C6H6Co2-
(benzene)71 radical anion,0.500000,C426H426-
(biphenyl)4 radical anion,0.500000,C48H40-
"Manganese, tricarbonyl[(1,2,3,4,5-η)-1-methyl-2,4-cyclopentadien-1-yl]-",0.500000,C9H7MnO3
Fluoroimidogen,0.500000,FN
"3,3,4,4-tetrafluorodihydrofuran-2,5-dione",0.500000,C4F4O3
Guanine radical anion,0.500000,C5H5N5O-
"Anthracene, 2-(1,1-dimethylethyl)-",0.500000,C18H18
Deoxycytidine,0.500000,C9H13N3O4
Potassium anion,0.501000,K-
(N2O)2..NO anion,0.502000,N5O3-
Methyl amino radical,0.504000,CH4N
Chromium dimer,0.505000,Cr2
(toluene)45 radical anion,0.505000,C315H360-
2-Methylallyl radical,0.505000,C4H7
Cyclopropyl radical,0.507000,C3H5
(NH3)10..Na anion,0.508000,H30N10Na-
bicyclo[2.2.1]hepta-1-ide anion,0.510000,C7H11-
(NH3)3..Na2 radical anion,0.510000,H9N3Na2-
(benzene)73 radical anion,0.510000,C438H438-
(H2O)4..O2CCO2 dianion,0.510000,C2H8O8-2
(Ar)10..NO anion,0.511000,Ar10NO-
"Amidogen, methylene-",0.511000,CH2N
bicyclo[2.2.2]octan-1-ide anion,0.512000,C8H13-
(Xe)3..NO anion,0.513000,NOXe3-
(benzene)76 radical anion,0.515000,C456H456-
(benzene)79 radical anion,0.520000,C474H474-
(NH3)8..Li anion,0.520000,H24LiN8-
(NH3)8..Na anion,0.520000,H24N8Na-
(NH3)9..Na anion,0.520000,H27N9Na-
sodium fluoride,0.520000,FNa
LiOCO anion,0.520000,CLiO2-
(m-terphenyl)3 radical anion,0.520000,C54H42-
(o-terphenyl)3 radical anion,0.520000,C54H42-
"Anthracene, 1-methyl-",0.520000,C15H12
Ar..O2 radical anion,0.521000,ArO2-
(benzene)82 radical anion,0.523000,C492H492-
(toluene)51 radical anion,0.523000,C357H408-
(benzene)85 radical anion,0.525000,C510H510-
vanadium,0.526000,V
(H2O)8 radical anion,0.530000,H16O8-
(benzene)87 radical anion,0.530000,C522H522-
Anthracene,0.530000,C14H10
"Benzene, hexafluoro-",0.530000,C6F6
Nb4 radical,0.530000,Nb4
(NH3)11..Na anion,0.533000,H33N11Na-
(benzene)91 radical anion,0.534000,C546H546-
Benzo[e]pyrene,0.534000,C20H12
(Ar)11..NO anion,0.535000,Ar11NO-
(NH3)4..Li anion,0.535000,H12LiN4-
DCF radical,0.535000,CDF
(toluene)57 radical anion,0.537000,C399H456-
Ar..CH2=C radical anion,0.538000,C2H2Ar-
(benzene)95 radical anion,0.538000,C570H570-
(H2O)3..adenine radical anion,0.540000,C5H11N5O3-
Ammonium Chloride,0.540000,ClH4N
(PhMe)2..Sc anion,0.540000,C14H16Sc-
(NH3)14..Li anion,0.540000,H42LiN14-
Cesium bromide,0.540000,BrCs
Diethyl Phthalate,0.540000,C12H14O4
(benzene)100 radical anion,0.541000,C600H600-
Fluoromethylene,0.542000,CHF
Picene,0.542000,C22H14
"Benzene, pentafluoromethoxy-",0.542000,C7H3F5O
(NH3)12..Na anion,0.543000,H36N12Na-
